input,p0,p1,p2,p3,p4,p5,p6,objective,elapsed_sec
100000,96,cores,master,#pragma omp parallel for,simd,"schedule(static,4)",dynamic,0.555955,12.00524091720581
100000,4,threads,spread,#pragma omp parallel for,simd,"schedule(static,4)",static,0.54711,20.935062170028687
100000,2,cores,spread,#pragma omp parallel for,simd,"schedule(static,32)",dynamic,0.55762,29.891152143478394
100000,16,threads,spread, ,simd,"schedule(static,1)",dynamic,0.463015,38.26285791397095
100000,16,cores,spread,#pragma omp parallel for,simd,"schedule(static,32)",static,0.57065,47.126495599746704
100000,2,threads,spread,#pragma omp parallel for,simd,"schedule(static,8)",dynamic,0.5454,55.946446895599365
100000,128,threads,close, ,simd,"schedule(static,1)",static,0.46291499999999997,64.26444983482361
100000,192,sockets,close, , , ,static,0.46621,72.68277740478516
100000,48,cores,master, , ,"schedule(static,4)",dynamic,0.45972,81.04054570198059
100000,16,sockets,close,#pragma omp parallel for,simd,"schedule(static,2)",dynamic,0.55582,89.8142602443695
100000,48,sockets,spread, ,simd,"schedule(static,4)",dynamic,0.46401000000000003,98.15794491767883
100000,128,sockets,close, ,simd,"schedule(static,2)",dynamic,0.464405,106.70278358459473
100000,256,sockets,master,#pragma omp parallel for,simd,"schedule(static,4)",dynamic,0.563855,116.5781638622284
100000,64,cores,spread,#pragma omp parallel for, ,"schedule(static,16)",static,0.5462400000000001,125.47340726852417
100000,64,cores,master, , ,"schedule(static,1)",dynamic,0.463985,133.79085731506348
100000,64,cores,spread, , ,"schedule(static,4)",dynamic,0.463155,142.15507745742798
100000,48,sockets,close,#pragma omp parallel for,simd, ,dynamic,0.553315,150.92452001571655
100000,4,cores,spread,#pragma omp parallel for, ,"schedule(static,1)",dynamic,0.5478449999999999,159.83855867385864
100000,16,cores,spread, , , ,dynamic,0.46309500000000003,168.21058011054993
100000,96,cores,spread,#pragma omp parallel for,simd,"schedule(static,2)",static,0.5438000000000001,177.06651139259338
100000,8,cores,close, ,simd,"schedule(static,32)",static,0.47848500000000005,185.42246794700623
100000,96,cores,close,#pragma omp parallel for, ,"schedule(static,2)",static,0.5036849999999999,194.41165614128113
100000,96,threads,close, , , ,dynamic,0.462585,202.74244379997253
100000,8,cores,spread,#pragma omp parallel for,simd,"schedule(static,16)",dynamic,0.56925,211.50473475456238
100000,4,cores,master, , ,"schedule(static,4)",static,0.464245,219.76324343681335
100000,16,threads,master,#pragma omp parallel for,simd,"schedule(static,4)",dynamic,0.550835,228.53096866607666
100000,256,threads,spread,#pragma omp parallel for, ,"schedule(static,2)",static,0.54657,237.6309552192688
100000,8,sockets,close,#pragma omp parallel for, ,"schedule(static,4)",static,0.5558799999999999,246.51718091964722
100000,256,cores,spread,#pragma omp parallel for,simd,"schedule(static,32)",dynamic,0.56751,255.89855313301086
100000,192,sockets,spread,#pragma omp parallel for, ,"schedule(static,1)",dynamic,0.557885,265.03893184661865
100000,2,sockets,spread, ,simd,"schedule(static,8)",dynamic,0.46913499999999997,273.3124108314514
100000,96,threads,master,#pragma omp parallel for,simd,"schedule(static,2)",dynamic,0.50837,282.4148745536804
100000,48,sockets,master, , ,"schedule(static,4)",dynamic,0.46572,290.7820768356323
100000,32,threads,master, , ,"schedule(static,2)",static,0.46209500000000003,299.15127301216125
100000,8,cores,master, ,simd, ,dynamic,0.46304,307.5305564403534
100000,48,sockets,close, ,simd,"schedule(static,4)",dynamic,0.463765,315.8269956111908
100000,256,threads,master, , , ,dynamic,0.46421,324.13421297073364
100000,4,sockets,master,#pragma omp parallel for, ,"schedule(static,8)",static,0.5707,333.0773198604584
100000,64,threads,master,#pragma omp parallel for, ,"schedule(static,16)",static,0.56853,342.02181601524353
100000,64,sockets,master,#pragma omp parallel for, ,"schedule(static,1)",dynamic,0.5439,350.99062490463257
100000,4,sockets,master, , ,"schedule(static,16)",static,0.47241500000000003,359.4145176410675
100000,16,cores,master, ,simd,"schedule(static,8)",dynamic,0.46891499999999997,367.7660264968872
100000,32,sockets,spread, ,simd,"schedule(static,32)",static,0.48399000000000003,376.29834604263306
100000,192,threads,master,#pragma omp parallel for, ,"schedule(static,32)",static,0.52284,385.6827003955841
100000,256,threads,spread,#pragma omp parallel for,simd,"schedule(static,1)",dynamic,0.51875,394.94765877723694
100000,96,threads,master,#pragma omp parallel for,simd, ,static,0.505845,404.1234359741211
100000,32,threads,spread, , ,"schedule(static,8)",dynamic,0.46632,412.3856303691864
100000,128,sockets,close, ,simd,"schedule(static,2)",static,0.464675,420.7885961532593
100000,128,threads,close, , ,"schedule(static,32)",dynamic,0.48014,429.15832924842834
100000,48,sockets,master,#pragma omp parallel for,simd,"schedule(static,1)",static,0.548205,438.086706161499
100000,128,cores,close,#pragma omp parallel for, , ,dynamic,0.55877,447.2345073223114
100000,8,sockets,spread,#pragma omp parallel for, , ,static,0.5586249999999999,456.00440740585327
100000,64,sockets,master, , ,"schedule(static,32)",static,0.47763500000000003,464.32359194755554
100000,32,cores,spread, , ,"schedule(static,16)",static,0.47417,472.7701463699341
100000,256,threads,master, , ,"schedule(static,2)",dynamic,0.46008000000000004,481.0681393146515
100000,8,threads,close, , ,"schedule(static,1)",static,0.464095,489.40190029144287
100000,256,cores,spread, , ,"schedule(static,1)",static,0.46448,497.7757270336151
100000,192,cores,spread,#pragma omp parallel for,simd,"schedule(static,8)",static,0.554935,506.81024503707886
100000,16,cores,master,#pragma omp parallel for,simd,"schedule(static,2)",static,0.5200400000000001,515.6278991699219
100000,192,threads,master,#pragma omp parallel for,simd,"schedule(static,16)",dynamic,0.550115,524.9024248123169
100000,8,sockets,spread, , ,"schedule(static,16)",static,0.47355499999999995,533.2594952583313
100000,4,threads,spread,#pragma omp parallel for, ,"schedule(static,32)",static,0.5755950000000001,542.0986306667328
100000,2,sockets,close, ,simd,"schedule(static,16)",static,0.470285,550.4782180786133
100000,48,sockets,close, ,simd, ,dynamic,0.46463,558.8390202522278
100000,2,threads,master,#pragma omp parallel for,simd,"schedule(static,16)",static,0.547725,567.7025496959686
100000,192,threads,master, ,simd,"schedule(static,2)",dynamic,0.45761,575.96235871315
100000,2,cores,close,#pragma omp parallel for,simd,"schedule(static,8)",static,0.54192,584.7707040309906
100000,8,sockets,master, , ,"schedule(static,32)",static,0.48475999999999997,593.2186236381531
100000,16,threads,close,#pragma omp parallel for,simd,"schedule(static,8)",dynamic,0.56836,601.9889521598816
100000,4,sockets,close, , ,"schedule(static,16)",dynamic,0.47382,610.2343785762787
100000,96,sockets,master, , ,"schedule(static,4)",static,0.46240000000000003,618.5788147449493
100000,2,sockets,close,#pragma omp parallel for, ,"schedule(static,8)",dynamic,0.541825,627.4130442142487
100000,48,cores,close, , ,"schedule(static,32)",dynamic,0.48187,635.8134624958038
100000,8,sockets,master,#pragma omp parallel for,simd, ,static,0.5602499999999999,644.7140910625458
100000,8,threads,master,#pragma omp parallel for, ,"schedule(static,1)",static,0.55915,653.4744353294373
100000,64,threads,close,#pragma omp parallel for,simd,"schedule(static,16)",dynamic,0.511665,662.5761687755585
100000,2,sockets,close, ,simd,"schedule(static,1)",static,0.46427,670.905811548233
100000,16,cores,master,#pragma omp parallel for, ,"schedule(static,8)",static,0.5231049999999999,679.7662451267242
100000,2,sockets,spread, , ,"schedule(static,32)",dynamic,0.481275,688.0701808929443
100000,96,threads,close, , ,"schedule(static,32)",dynamic,0.47872499999999996,696.4794263839722
100000,48,sockets,master, , ,"schedule(static,8)",static,0.465775,704.7664098739624
100000,192,threads,close, ,simd,"schedule(static,16)",static,0.47552,713.0985341072083
100000,128,cores,close,#pragma omp parallel for, , ,dynamic,0.5572699999999999,722.1308772563934
100000,4,threads,spread, ,simd, ,static,0.46551,730.3662226200104
100000,32,threads,spread, ,simd, ,dynamic,0.463825,738.7226293087006
100000,192,threads,close, , ,"schedule(static,1)",static,0.463665,747.0502345561981
100000,32,threads,close,#pragma omp parallel for,simd,"schedule(static,8)",static,0.563875,755.8635792732239
100000,32,threads,spread, ,simd,"schedule(static,2)",static,0.46468,764.1465764045715
100000,64,cores,close,#pragma omp parallel for,simd,"schedule(static,4)",dynamic,0.5483199999999999,773.1309115886688
100000,32,cores,spread,#pragma omp parallel for,simd,"schedule(static,16)",dynamic,0.54708,782.0972855091095
100000,192,cores,spread,#pragma omp parallel for, ,"schedule(static,16)",static,0.549865,791.2153975963593
100000,32,sockets,close,#pragma omp parallel for,simd,"schedule(static,4)",static,0.56006,800.0344498157501
100000,96,cores,spread, , ,"schedule(static,2)",static,0.46530499999999997,808.3677294254303
100000,4,cores,master, ,simd,"schedule(static,8)",dynamic,0.46892,816.7548725605011
100000,128,sockets,close,#pragma omp parallel for, ,"schedule(static,32)",dynamic,0.5726800000000001,825.947149515152
100000,128,cores,close, , ,"schedule(static,32)",static,0.48045499999999997,834.2944927215576
100000,256,cores,spread,#pragma omp parallel for, ,"schedule(static,1)",dynamic,0.5522849999999999,843.949470281601
100000,256,cores,close,#pragma omp parallel for,simd,"schedule(static,8)",static,0.49871,853.3884902000427
100000,64,threads,close,#pragma omp parallel for, ,"schedule(static,2)",static,0.5252399999999999,862.2988030910492
100000,128,sockets,master, ,simd,"schedule(static,2)",dynamic,0.46424,870.6184737682343
100000,2,cores,master, ,simd,"schedule(static,1)",static,0.463285,881.2231526374817
100000,8,cores,close,#pragma omp parallel for, ,"schedule(static,8)",dynamic,0.543045,892.60023021698
100000,8,cores,master, ,simd,"schedule(static,1)",static,0.46375,903.2151675224304
100000,256,cores,spread,#pragma omp parallel for,simd,"schedule(static,1)",static,0.56218,914.8923938274384
100000,8,cores,master, , , ,static,0.465945,925.5161483287811
100000,4,cores,master, , ,"schedule(static,32)",static,0.478715,936.2871441841125
100000,2,threads,master, , , ,static,0.46382,947.0083556175232
100000,256,cores,close,#pragma omp parallel for, ,"schedule(static,1)",dynamic,0.536285,958.7673895359039
100000,256,cores,close,#pragma omp parallel for, ,"schedule(static,1)",static,0.48773,970.4715754985809
100000,96,cores,master,#pragma omp parallel for,simd,"schedule(static,1)",static,0.5630900000000001,981.684041261673
100000,4,cores,close, , , ,static,0.46099,992.3228940963745
100000,16,cores,close, ,simd, ,dynamic,0.459685,1002.9318103790283
100000,2,cores,close, ,simd, ,static,0.460515,1013.4753136634827
100000,2,sockets,close, , ,"schedule(static,32)",static,0.48162499999999997,1024.1230075359344
100000,192,cores,close,#pragma omp parallel for,simd,"schedule(static,1)",dynamic,0.555455,1035.7522644996643
100000,256,cores,close,#pragma omp parallel for,simd,"schedule(static,1)",dynamic,0.55663,1047.3621952533722
100000,256,sockets,master, ,simd, ,static,0.463785,1058.0934307575226
100000,192,cores,master,#pragma omp parallel for,simd, ,dynamic,0.504455,1069.5488357543945
100000,256,cores,close,#pragma omp parallel for,simd,"schedule(static,1)",static,0.506335,1081.1591413021088
100000,256,cores,close, ,simd,"schedule(static,8)",dynamic,0.468545,1091.8606343269348
100000,256,cores,close, ,simd,"schedule(static,16)",dynamic,0.473925,1102.4845538139343
100000,256,threads,master,#pragma omp parallel for,simd, ,static,0.506005,1114.4574394226074
100000,2,sockets,master, ,simd,"schedule(static,1)",static,0.463425,1125.1884467601776
100000,256,sockets,master,#pragma omp parallel for,simd, ,static,0.4893,1136.8704719543457
100000,2,sockets,master, ,simd,"schedule(static,1)",dynamic,0.46462000000000003,1147.6413462162018
100000,8,sockets,master, , ,"schedule(static,1)",dynamic,0.464425,1158.4140453338623
100000,128,sockets,spread, ,simd,"schedule(static,1)",dynamic,0.459065,1169.06183218956
100000,2,sockets,close,#pragma omp parallel for, ,"schedule(static,1)",static,0.5374099999999999,1180.2259573936462
100000,2,cores,master,#pragma omp parallel for,simd,"schedule(static,1)",dynamic,0.543685,1191.2935240268707
100000,256,sockets,close,#pragma omp parallel for,simd,"schedule(static,1)",static,0.541445,1202.9453134536743
100000,16,cores,master, , ,"schedule(static,1)",static,0.46175,1213.6615588665009
100000,32,sockets,master, , ,"schedule(static,1)",static,0.464955,1224.4099290370941
100000,4,sockets,master, ,simd,"schedule(static,1)",static,0.465055,1235.0892384052277
100000,2,sockets,close, ,simd,"schedule(static,1)",dynamic,0.46443999999999996,1245.9017498493195
100000,2,cores,master, , , ,static,0.46633,1256.5645883083344
100000,256,threads,close, , ,"schedule(static,1)",dynamic,0.463555,1267.4971601963043
100000,4,cores,close, , ,"schedule(static,1)",static,0.462395,1278.2851276397705
100000,256,sockets,close, ,simd, ,static,0.460715,1289.0853328704834
100000,256,sockets,close, , ,"schedule(static,1)",dynamic,0.46116999999999997,1299.8461146354675
100000,256,cores,close, ,simd,"schedule(static,32)",static,0.482085,1310.5693390369415
100000,256,threads,close, ,simd,"schedule(static,32)",static,0.48045499999999997,1321.3659205436707
100000,256,sockets,close, ,simd,"schedule(static,2)",static,0.46075,1332.0257577896118
100000,256,sockets,close, ,simd,"schedule(static,16)",static,0.46875,1342.7386360168457
100000,256,sockets,close, , ,"schedule(static,1)",static,0.46358,1353.4270482063293
100000,256,sockets,master, , , ,static,0.46286,1364.2990262508392
100000,256,sockets,master, ,simd,"schedule(static,32)",dynamic,0.48351,1375.0457348823547
100000,256,sockets,close, ,simd,"schedule(static,32)",static,0.48191,1385.9634017944336
100000,256,cores,close, ,simd, ,static,0.466255,1396.8229389190674
100000,256,sockets,close, ,simd,"schedule(static,1)",static,0.46398,1407.7270338535309
100000,256,cores,master, , ,"schedule(static,1)",static,0.46477500000000005,1418.50688123703
100000,2,cores,master,#pragma omp parallel for, ,"schedule(static,8)",dynamic,0.53819,1429.7949147224426
100000,32,cores,master,#pragma omp parallel for, ,"schedule(static,8)",dynamic,0.55952,1440.9786667823792
100000,48,cores,close,#pragma omp parallel for, ,"schedule(static,8)",dynamic,0.558905,1452.4342436790466
100000,256,cores,master,#pragma omp parallel for,simd,"schedule(static,4)",dynamic,0.54472,1464.146879196167
100000,4,cores,master, , ,"schedule(static,1)",dynamic,0.46530499999999997,1475.1546914577484
100000,4,cores,master, , ,"schedule(static,1)",static,0.462025,1486.0552999973297
100000,128,cores,master,#pragma omp parallel for,simd,"schedule(static,4)",static,0.5526500000000001,1497.746660709381
100000,256,threads,close,#pragma omp parallel for,simd,"schedule(static,8)",dynamic,0.50756,1509.8784244060516
100000,128,cores,master,#pragma omp parallel for,simd,"schedule(static,2)",dynamic,0.50237,1521.4527695178986
100000,256,cores,master,#pragma omp parallel for,simd,"schedule(static,4)",static,0.5023599999999999,1533.527144908905
100000,192,cores,master,#pragma omp parallel for,simd,"schedule(static,2)",static,0.49748499999999996,1545.0639424324036
100000,192,cores,master,#pragma omp parallel for,simd,"schedule(static,2)",dynamic,0.49071,1556.7912635803223
100000,192,cores,master,#pragma omp parallel for,simd,"schedule(static,4)",static,0.559215,1568.406404018402
100000,128,cores,master,#pragma omp parallel for,simd,"schedule(static,4)",dynamic,0.54505,1580.0519442558289
100000,256,cores,spread,#pragma omp parallel for, ,"schedule(static,8)",dynamic,0.500055,1592.2591395378113
100000,48,cores,master,#pragma omp parallel for,simd,"schedule(static,2)",dynamic,0.5419,1603.5880002975464
100000,48,cores,master,#pragma omp parallel for,simd,"schedule(static,4)",dynamic,0.5566949999999999,1615.0874857902527
100000,256,threads,master, ,simd, ,static,0.465935,1625.8562541007996
100000,256,cores,master, , , ,static,0.46375500000000003,1636.8724155426025
100000,192,cores,master, , , ,static,0.463955,1647.628161430359
100000,256,cores,master, , ,"schedule(static,16)",static,0.47536500000000004,1658.5844285488129
100000,4,cores,master, ,simd,"schedule(static,1)",dynamic,0.459805,1669.3599677085876
100000,8,cores,close, , ,"schedule(static,1)",dynamic,0.46531,1680.11203622818
100000,96,sockets,close, , ,"schedule(static,1)",dynamic,0.46574499999999996,1690.7363402843475
100000,256,cores,master,#pragma omp parallel for,simd,"schedule(static,2)",dynamic,0.504675,1702.7961993217468
100000,192,cores,master, , ,"schedule(static,16)",static,0.47280500000000003,1713.5803122520447
100000,256,threads,master, , , ,static,0.46604500000000004,1724.3163545131683
100000,2,cores,master, , ,"schedule(static,1)",dynamic,0.46684499999999995,1735.1357762813568
100000,16,cores,master, ,simd,"schedule(static,1)",dynamic,0.46092500000000003,1745.9400706291199
100000,256,cores,master, ,simd,"schedule(static,1)",dynamic,0.46582,1756.7671105861664
100000,8,sockets,close,#pragma omp parallel for,simd,"schedule(static,1)",static,0.5574349999999999,1768.204231262207
100000,4,sockets,close,#pragma omp parallel for, ,"schedule(static,1)",static,0.55436,1779.4932408332825
100000,2,threads,close,#pragma omp parallel for,simd, ,static,0.5349550000000001,1791.039761543274
100000,32,sockets,master, ,simd,"schedule(static,1)",static,0.464295,1802.084682226181
100000,2,threads,close, ,simd,"schedule(static,1)",dynamic,0.46358,1813.0005934238434
100000,256,cores,master, ,simd,"schedule(static,1)",static,0.46169000000000004,1823.7766103744507
100000,192,cores,master, ,simd,"schedule(static,1)",static,0.46668,1834.8014736175537
100000,2,sockets,close, , ,"schedule(static,1)",static,0.45904,1845.73348402977
100000,192,threads,close,#pragma omp parallel for, ,"schedule(static,1)",dynamic,0.543795,1857.4497096538544
100000,256,sockets,master, ,simd, ,dynamic,0.4655,1868.4180581569672
100000,192,threads,master, , , ,static,0.46625,1879.419094800949
100000,2,cores,close, ,simd,"schedule(static,1)",dynamic,0.45938,1890.43004488945
100000,192,threads,master, ,simd, ,static,0.46513,1901.502225637436
100000,256,cores,master,#pragma omp parallel for,simd,"schedule(static,2)",static,0.50191,1913.3343396186829
100000,192,cores,master, ,simd, ,static,0.46513499999999997,1924.429552078247
100000,128,threads,master, ,simd, ,static,0.46604,1935.4701788425446
100000,256,cores,master, ,simd, ,static,0.46286499999999997,1946.478049993515
100000,256,sockets,master, , , ,dynamic,0.461665,1957.5078194141388
100000,256,threads,master, ,simd, ,dynamic,0.464355,1968.5059831142426
100000,192,cores,master,#pragma omp parallel for,simd,"schedule(static,1)",static,0.538475,1980.3241069316864
